
   t          f(t)        Pn(t)       Er(t)
2.167699     1.303427    1.368699   -0.050077
2.173982     1.292093    1.356600   -0.049924
2.180265     1.280845    1.344565   -0.049748
2.186548     1.269682    1.332593   -0.049548
2.192832     1.258605    1.320684   -0.049324
2.199115     1.247613    1.308839   -0.049075
2.205398     1.236706    1.297058   -0.048801
2.211681     1.225884    1.285341   -0.048502
2.217964     1.215147    1.273689   -0.048177
2.224248     1.204495    1.262101   -0.047826
2.230531     1.193927    1.250578   -0.047449
2.236814     1.183444    1.239120   -0.047046
2.243097     1.173045    1.227727   -0.046615
2.249380     1.162730    1.216400   -0.046158
2.255664     1.152499    1.205138   -0.045674
2.261947     1.142352    1.193942   -0.045161
2.268230     1.132288    1.182812   -0.044621
2.274513     1.122307    1.171748   -0.044053
2.280796     1.112409    1.160751   -0.043457
2.287079     1.102594    1.149820   -0.042832
2.293363     1.092861    1.138956   -0.042178
2.299646     1.083210    1.128158   -0.041495
2.305929     1.073642    1.117428   -0.040783
2.312212     1.064154    1.106764   -0.040041
2.318495     1.054748    1.096168   -0.039270
2.324779     1.045423    1.085639   -0.038469
2.331062     1.036178    1.075178   -0.037638
2.337345     1.027014    1.064784   -0.036776
2.343628     1.017930    1.054458   -0.035885
2.349911     1.008925    1.044200   -0.034962
2.356194     1.000000    1.034009   -0.034009
2.362478     0.991154    1.023887   -0.033026
2.368761     0.982386    1.013833   -0.032011
2.375044     0.973696    1.003847   -0.030965
2.381327     0.965085    0.993929   -0.029888
2.387610     0.956551    0.984080   -0.028780
2.393894     0.948094    0.974299   -0.027640
2.400177     0.939713    0.964587   -0.026469
2.406460     0.931410    0.954943   -0.025267
2.412743     0.923182    0.945368   -0.024033
2.419026     0.915029    0.935862   -0.022767
2.425310     0.906952    0.926424   -0.021470
2.431593     0.898950    0.917055   -0.020141
2.437876     0.891022    0.907755   -0.018780
2.444159     0.883168    0.898524   -0.017388
2.450442     0.875387    0.889362   -0.015964
2.456725     0.867679    0.880268   -0.014509
2.463009     0.860045    0.871244   -0.013022
2.469292     0.852482    0.862288   -0.011503
2.475575     0.844991    0.853402   -0.009953
2.481858     0.837572    0.844584   -0.008372
2.488141     0.830224    0.835836   -0.006760
2.494425     0.822946    0.827156   -0.005116
2.500708     0.815738    0.818545   -0.003441
2.506991     0.808600    0.810004   -0.001736
2.513274     0.801531    0.801531   0.000000
2.519557     0.794531    0.793127   0.001767
2.525840     0.787599    0.784792   0.003564
2.532124     0.780735    0.776526   0.005391
2.538407     0.773938    0.768329   0.007248
2.544690     0.767208    0.760200   0.009134
2.550973     0.760545    0.752140   0.011050
2.557256     0.753947    0.744149   0.012996
2.563540     0.747416    0.736227   0.014970
2.569823     0.740949    0.728373   0.016973
2.576106     0.734547    0.720588   0.019004
2.582389     0.728209    0.712871   0.021063
2.588672     0.721935    0.705223   0.023150
2.594956     0.715724    0.697643   0.025264
2.601239     0.709576    0.690131   0.027404
2.607522     0.703491    0.682687   0.029572
2.613805     0.697467    0.675312   0.031765
2.620088     0.691505    0.668004   0.033984
2.626371     0.685603    0.660765   0.036229
2.632655     0.679762    0.653593   0.038498
2.638938     0.673981    0.646489   0.040791
2.645221     0.668260    0.639452   0.043108
2.651504     0.662598    0.632483   0.045449
2.657787     0.656994    0.625582   0.047812
2.664071     0.651449    0.618748   0.050198
2.670354     0.645961    0.611980   0.052605
2.676637     0.640531    0.605280   0.055033
2.682920     0.635157    0.598647   0.057482
2.689203     0.629840    0.592081   0.059950
2.695486     0.624579    0.585581   0.062438
2.701770     0.619373    0.579148   0.064944
2.708053     0.614222    0.572781   0.067468
2.714336     0.609126    0.566481   0.070010
2.720619     0.604084    0.560247   0.072568
2.726902     0.599095    0.554078   0.075142
2.733186     0.594160    0.547975   0.077731
2.739469     0.589277    0.541938   0.080334
2.745752     0.584447    0.535967   0.082951
2.752035     0.579669    0.530061   0.085580
2.758318     0.574942    0.524220   0.088222
2.764602     0.570266    0.518443   0.090875
2.770885     0.565641    0.512732   0.093538
2.777168     0.561066    0.507085   0.096211
2.783451     0.556540    0.501503   0.098892
2.789734     0.552064    0.495985   0.101581
2.796017     0.547637    0.490531   0.104277
2.802301     0.543258    0.485141   0.106978
2.808584     0.538927    0.479815   0.109685
2.814867     0.534644    0.474552   0.112396
2.821150     0.530408    0.469352   0.115110
2.827433     0.526218    0.464216   0.117826
2.833717     0.522075    0.459142   0.120543
